No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Prem Left,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Entry Price,Current Price,Date,C/P,BBG Ticker
895,1-Apr-24,Listed - Stock,TSLA US,Sell,Call,USD,164.9,9%,180,176,102.3%,,5-Apr-24,0,16000,$2.82,$2.88,,UBS,1.21%,Unwound,"$33,954",$0,"$33,954",,,1,"$6,217,213",$2,FALSE,04/05/24,C,TSLA US 04/05/24 C180 Equity
896,1-Apr-24,Listed - Stock,MRNA US,Sell,Put,USD,121.25,28%,95,103.8,91.5%,,26-Apr-24,0,100,$0.01,$0.01,,UBS,1.64%,Expired,$170,$0,$170,,,1,"$6,217,383",$2,FALSE,04/26/24,P,MRNA US 04/26/24 P95 Equity
897,2-Apr-24,Listed - Stock,TSLA US,Sell,Put,USD,171.05,14%,150,164.8,91.0%,,12-Apr-24,0,6000,$0.99,$0.90,,UBS,0.94%,Expired,"$9,299",$0,"$9,299",,,1,"$6,226,682",$2,FALSE,04/12/24,P,TSLA US 04/12/24 P150 Equity
898,3-Apr-24,OTC - Stock,RMS FP,Sell,Put,USD,2295.00,0%,2300,2393.0,96.1%,,17-May-24,0,776,$1.86,$1.78,,MS,2.14%,Expired,"$39,721","-$4,202","$35,519",,,1.083,"$6,266,404",$51,,05/17/24,P,
899,3-Apr-24,OTC - Stock,RMS FP,Buy,Call,USD,2295.00,9%,2500,2393.0,104.5%,,17-May-24,0,776,$1.86,$1.94,,MS,-1.94%,Expired,"-$36,096",$0,"-$36,096",,,1.083,"$6,230,307",-$47,,05/17/24,C,
900,3-Apr-24,Listed - Stock,WOLF US,Sell,Put,USD,26.25,9%,24,26.4,90.9%,,12-Apr-24,0,35000,$0.92,$0.84,,UBS,1.27%,Expired,"$11,707",$0,"$11,707",,,1,"$6,242,015",$0,FALSE,04/12/24,P,WOLF US 04/12/24 P24 Equity
901,3-Apr-24,Listed - Stock,TSLA US,Sell,Put,USD,171.05,10%,155,165.2,93.8%,,12-Apr-24,0,6000,$0.99,$0.93,,UBS,0.67%,Expired,"$6,645",$0,"$6,645",,,1,"$6,248,660",$1,FALSE,04/12/24,P,TSLA US 04/12/24 P155 Equity
902,3-Apr-24,Listed - Stock,MSTR US,Sell,Call,USD,1479.58,35%,2000,1650,121.2%,,12-Apr-24,0,1200,$1.98,$2.40,,UBS,2.71%,Expired,"$53,681",$0,"$53,681",,,1,"$6,302,341",$45,FALSE,04/12/24,C,MSTR US 04/12/24 C2000 Equity
903,3-Apr-24,Listed - Stock,STAA US,Sell,Put,USD,46.39,24%,37.5,40.0,93.8%,,19-Apr-24,,"25,000",$1.00,$0.94,,UBS,1.83%,Expired,"$18,295",$0,"$18,295",,,1,"$6,320,637",$1,FALSE,04/19/24,P,STAA US 04/19/24 P37.5 Equity
904,4-Apr-24,Listed - Stock,TSLA US,Sell,Put,USD,147.05,-11%,165,172.0,95.9%,,19-Apr-24,,"18,000",$3.10,$2.97,,UBS,1.38%,Exercised,"$42,763","-$323,100","-$280,337",,,1,"$6,363,400",$2,FALSE,04/19/24,P,TSLA US 04/19/24 P165 Equity
905,4-Apr-24,Listed - Stock,MSTR US,Sell,Put,USD,1223.00,-9%,1350,1700.0,79.4%,,3-May-24,0,600,$1.02,$0.81,,UBS,5.76%,Exercised,"$58,791","-$76,200","-$17,409",,,1,"$6,422,190",$98,FALSE,05/03/24,P,MSTR US 05/03/24 P1350 Equity
906,4-Apr-24,Listed - Stock,TSLA US,Sell,Put,USD,171.05,2%,167.5,172,97.4%,,12-Apr-24,0,18000,$3.10,$3.02,,UBS,1.24%,Expired,"$38,241",$0,"$38,241",,,1,"$6,460,431",$2,FALSE,04/12/24,P,TSLA US 04/12/24 P167.5 Equity
907,4-Apr-24,Listed - Stock,ONON US,Sell,Put,USD,32.87,4%,31.5,33,95.5%,,12-Apr-24,0,53700,$1.77,$1.69,,UBS,6.44%,Expired,"$114,086",$0,"$114,086",,,1,"$6,574,517",$2,FALSE,04/12/24,P,ONON US 04/12/24 P31.5 Equity
908,4-Apr-24,Listed - Stock,MSTR US,Sell,Put,USD,1223,-11%,1380,1700,81.2%,,3-May-24,0,1200,$2.04,$1.66,,UBS,6.12%,Exercised,"$124,781","-$188,400","-$63,619",,,1,"$6,699,298",$104,FALSE,05/03/24,P,MSTR US 05/03/24 P1380 Equity
909,4-Apr-24,Listed - Stock,MSTR US,Sell,Call,USD,1479.58,35%,2000,1700,117.6%,,12-Apr-24,0,1200,$2.04,$2.40,,UBS,3.17%,Expired,"$64,751",$0,"$64,751",,,1,"$6,764,050",$54,FALSE,04/12/24,C,MSTR US 04/12/24 C2000 Equity
910,4-Apr-24,Listed - Stock,HDB US,Sell,Put,USD,56.78,3%,55,60.0,91.7%,,17-May-24,0,"45,000",$2.70,$2.48,,UBS,0.81%,Expired,"$21,802",$0,"$21,802",,,1,"$6,785,852",$0,FALSE,05/17/24,P,HDB US 05/17/24 P55 Equity
911,5-Apr-24,Listed - Stock,STAA US,Sell,Call,USD,42.70,29%,55,48.0,114.6%,,17-May-24,0,"12,000",$0.58,$0.66,,UBS,2.22%,Expired,"$12,784",$0,"$12,784",,,1,"$6,798,637",$1,FALSE,05/17/24,C,STAA US 05/17/24 C55 Equity
912,3-Apr-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1399.20,-7%,1500,1550.0,96.8%,,19-Apr-24,,600,$0.93,$0.90,,MS,1.21%,Exercised,"$11,276","-$65,409","-$54,133",,,1.0815,"$6,809,913",$19,FALSE,04/19/24,P,ADYEN NA 04/19/24 P1500 Equity
913,3-Apr-24,Listed - Stock,BESI NA,Sell,Put,EUR,133.50,-5%,140,155.0,90.3%,,19-Apr-24,,"17,900",$2.77,$2.51,,MS,1.52%,Exercised,"$42,055","-$125,833","-$83,777",,,1.0815,"$6,851,968",$2,FALSE,04/19/24,P,BESI NA 04/19/24 P140 Equity
914,3-Apr-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.78,3%,26,27.0,96.3%,,19-Apr-24,,"31,300",$0.85,$0.81,,MS,0.93%,Expired,"$7,845",$0,"$7,845",,,1.0815,"$6,859,813",$0,FALSE,04/19/24,P,UMG NA 04/19/24 P26 Equity
915,8-Apr-24,Listed - Stock,MMYT US,Sell,Put,USD,86.50,33%,65,68.0,95.6%,,17-May-24,0,"14,000",$0.95,$0.91,,UBS,2.17%,Expired,"$20,691",$0,"$20,691",,,1,"$6,880,504",$1,FALSE,05/17/24,P,MMYT US 05/17/24 P65 Equity
916,8-Apr-24,Listed - Stock,PDD US,Sell,Put,USD,146.19,39%,105,116.9,89.8%,,17-May-24,0,"16,000",$1.87,$1.68,,UBS,1.41%,Expired,"$26,371",$0,"$26,371",,,1,"$6,906,875",$2,FALSE,05/17/24,P,PDD US 05/17/24 P105 Equity
917,8-Apr-24,Listed - Stock,MSCI US,Sell,Put,USD,505.33,-1%,510,548.0,93.1%,,17-May-24,0,"1,900",$1.04,$0.97,,UBS,1.31%,Exercised,"$13,651","-$8,873","$4,778",,,1,"$6,920,526",$7,FALSE,05/17/24,P,MSCI US 05/17/24 P510 Equity
